outcome,predictor,coefficient,p_value,lower_bound,upper_bound,ame,pseudo_r_squared,n_obs
open_rate,avg_pushes_per_customer,0.17987251502408957,0.1784390559618746,-0.08212937589078728,0.44187440593896643,0.00604801003255343,0.05691023197189182,541
open_rate,has_geographic_targeting,-0.43152133277396265,0.5702704865272977,-1.9214561993678543,1.058413533819929,-0.014509417125391435,0.05691023197189182,541
open_rate,has_cx,-0.3471234877792927,0.6957155748654872,-2.086656356144873,1.392409380586288,-0.011671634970706533,0.05691023197189182,541
open_rate,has_new_verticals_grocery,-0.6646963063716953,0.5421210774646912,-2.801773613605132,1.4723810008617413,-0.022349662087055532,0.05691023197189182,541
open_rate,has_cart_abandonment,1.5859287995234106,0.2794084953690904,-1.2877974758637758,4.4596550749105965,0.05332506352706764,0.05691023197189182,541
open_rate,has_mx,-0.6079749918508088,0.8418312193013482,-6.579405910806661,5.363455927105043,-0.020442471990580836,0.05691023197189182,541
open_rate,has_reminders_notifications,0.18387532078160235,0.7914492439210329,-1.1790190187333427,1.5467696602965475,0.006182599852329718,0.05691023197189182,541
open_rate,has_multichannel,0.9546910799202329,0.4906934695106614,-1.760258282954474,3.66964044279494,0.03210040860647082,0.05691023197189182,541
open_rate,has_offers_promos,0.3662548563378263,0.6192260177995903,-1.078256309283581,1.8107660219592336,0.012314905616936126,0.05691023197189182,541
open_rate,has_technical_automation,-0.4718412792497446,0.5327235483845225,-1.954226717950089,1.0105441594505997,-0.015865129757556988,0.05691023197189182,541
open_rate,has_communication_channels,0.2372486425508096,0.8100946650332165,-1.6977960148063183,2.1722932999079374,0.007977217476304322,0.05691023197189182,541
open_rate,has_new_customer_experience,0.44070010149007643,0.5042587635229993,-0.8527279543631698,1.7341281573433227,0.014818042849972585,0.05691023197189182,541
open_rate,has_engagement_recommendations,0.14090393053232841,0.8793707138324164,-1.6787712043817153,1.9605790654463724,0.0047377354198422355,0.05691023197189182,541
open_rate,has_dashpass,-0.7482487597577148,0.5110319946893374,-2.979639594003932,1.4831420744885024,-0.02515901890432927,0.05691023197189182,541
open_rate,has_occasions_seasonal,-0.7209752823336408,0.6389966455244602,-3.733295061169109,2.2913444965018277,-0.024241979049400196,0.05691023197189182,541
open_rate,has_other,-0.26932934447971546,0.7321878762774399,-1.8118488471554568,1.2731901581960257,-0.009055894822264564,0.05691023197189182,541
open_rate,has_churned_reengagement,-0.1744168299655047,0.8730329608670142,-2.313561552905968,1.9647278929749588,-0.005864568788267975,0.05691023197189182,541
open_rate,has_customer_segments,0.6563458851020082,0.7135719864526299,-2.848268070982887,4.160959841186903,0.02206888860919344,0.05691023197189182,541
open_rate,has_partnerships,-0.40225505208697376,0.7420011051741828,-2.797135322245316,1.9926252180713688,-0.013525371512937924,0.05691023197189182,541
avg_ordered,avg_pushes_per_customer,0.15521775682661382,0.052604530345706633,-0.0017467224316496388,0.3121822360848773,0.029037230979385053,0.06636716193724157,541
avg_ordered,has_geographic_targeting,-0.3172318720486531,0.2769527210040086,-0.8891308757930447,0.2546671316957385,-0.059345884974933774,0.06636716193724157,541
avg_ordered,has_cx,0.18652485942897506,0.5569772188070182,-0.4359148000713096,0.8089645189292598,0.03489398080070576,0.06636716193724157,541
avg_ordered,has_new_verticals_grocery,1.288089672476357,0.0004042624791702152,0.5743758943019779,2.001803450650736,0.24096828936677003,0.06636716193724157,541
avg_ordered,has_cart_abandonment,1.6741442498071855,0.06646414398739534,-0.11373640209449465,3.4620249017088653,0.3131891239013538,0.06636716193724157,541
avg_ordered,has_mx,-0.01562742989066937,0.9848413410751086,-1.6277156399991868,1.596460780217848,-0.00292348826981442,0.06636716193724157,541
avg_ordered,has_reminders_notifications,0.41326758693402044,0.19309716401600907,-0.20909692736628271,1.0356321012343237,0.0773116853602067,0.06636716193724157,541
avg_ordered,has_multichannel,-0.14986306028769197,0.7651653901619497,-1.1331961848358199,0.833470064260436,-0.02803550563942364,0.06636716193724157,541
avg_ordered,has_offers_promos,0.05392981343594189,0.8385900383175062,-0.4649797782764196,0.5728394051483034,0.010088874375139048,0.06636716193724157,541
avg_ordered,has_technical_automation,0.04831417976121427,0.8836991932671118,-0.5990272247881963,0.6956555843106247,0.009038334440517857,0.06636716193724157,541
avg_ordered,has_communication_channels,-0.324896046719102,0.4146231625088148,-1.1054750187771756,0.4556829253389716,-0.06077965398900845,0.06636716193724157,541
avg_ordered,has_new_customer_experience,-0.04993079008928185,0.8691038059454876,-0.6437679404942063,0.5439063603156427,-0.009340760454522132,0.06636716193724157,541
avg_ordered,has_engagement_recommendations,0.15500532442457848,0.7083156312263452,-0.6570482924291204,0.9670589412782774,0.028997490366896393,0.06636716193724157,541
avg_ordered,has_dashpass,0.4189266912510766,0.2621739448883946,-0.3133527212101157,1.151206103712269,0.07837035752858725,0.06636716193724157,541
avg_ordered,has_occasions_seasonal,0.17983555454249245,0.7180987146855626,-0.7965363387578529,1.1562074478428377,0.03364258472946051,0.06636716193724157,541
avg_ordered,has_other,0.17273603282704353,0.5622968238544368,-0.4115527695197031,0.7570248351737902,0.03231444769082947,0.06636716193724157,541
avg_ordered,has_churned_reengagement,-0.02488581731540976,0.9563119560482005,-0.9152348226332869,0.8654631880024675,-0.004655493290664749,0.06636716193724157,541
avg_ordered,has_customer_segments,-0.5241237507400673,0.5145391480265776,-2.100198511557293,1.0519510100771583,-0.09805000873077614,0.06636716193724157,541
avg_ordered,has_partnerships,0.04083735559042073,0.9345504811177916,-0.9338187063976353,1.0154934175784767,0.007639613863193061,0.06636716193724157,541
uninstall_rate,avg_pushes_per_customer,0.18607997360694212,0.31247707443771366,-0.17500548943846245,0.5471654366523466,0.004082257386827202,0.05094221334497451,541
uninstall_rate,has_geographic_targeting,0.158110215619637,0.8540897281658606,-1.5269667440838588,1.8431871753231328,0.0034686515863844953,0.05094221334497451,541
uninstall_rate,has_cx,-0.33065202090481016,0.726397480286341,-2.182683774736091,1.5213797329264707,-0.007253906095554424,0.05094221334497451,541
uninstall_rate,has_new_verticals_grocery,0.5057596726935467,0.6475402839187057,-1.6624597469185833,2.673979092305677,0.011095450626909984,0.05094221334497451,541
uninstall_rate,has_cart_abandonment,0.8416929760907221,0.7091625869837934,-3.5812881690839173,5.264674121265362,0.018465218489039672,0.05094221334497451,541
uninstall_rate,has_mx,-0.2116967321494029,0.9461162297115897,-6.350925410917813,5.927531946619006,-0.004644242643808279,0.05094221334497451,541
uninstall_rate,has_reminders_notifications,0.4867799046100144,0.5532655991542096,-1.1224513476485654,2.096011156868594,0.01067906891233102,0.05094221334497451,541
uninstall_rate,has_multichannel,-0.3240750388407694,0.8550507149232068,-3.8010978046554995,3.1529477269739608,-0.00710961902858249,0.05094221334497451,541
uninstall_rate,has_offers_promos,0.5902155707576779,0.4754883467002474,-1.0309130752261721,2.2113442167415283,0.012948259970389826,0.05094221334497451,541
uninstall_rate,has_technical_automation,-0.2699391432193387,0.7704891747743334,-2.0834713845974067,1.5435930981587291,-0.005921975589531362,0.05094221334497451,541
uninstall_rate,has_communication_channels,0.06156916162655615,0.9559360505430936,-2.1224026696868834,2.2455409929399957,0.001350715823840755,0.05094221334497451,541
uninstall_rate,has_new_customer_experience,-0.009199553100324498,0.9909687999969705,-1.602142234849727,1.5837431286490777,-0.00020182152260315937,0.05094221334497451,541
uninstall_rate,has_engagement_recommendations,0.47945484032442176,0.6560719949744096,-1.6306367155373307,2.589546396186174,0.010518370277173167,0.05094221334497451,541
uninstall_rate,has_dashpass,0.6312663386318921,0.5426909379669358,-1.401196370294791,2.663729047558575,0.013848839420940584,0.05094221334497451,541
uninstall_rate,has_occasions_seasonal,-0.4504361466088296,0.8219672215426619,-4.373893204848245,3.473020911630586,-0.009881752727845802,0.05094221334497451,541
uninstall_rate,has_other,-0.331454278142461,0.7154858748762811,-2.1137349774057146,1.4508264211207929,-0.007271506165411772,0.05094221334497451,541
uninstall_rate,has_churned_reengagement,-0.09645155467663613,0.9397456506425054,-2.5973471632283585,2.404444053875086,-0.0021159723097412147,0.05094221334497451,541
uninstall_rate,has_customer_segments,-0.28330074954137763,0.9158874636373819,-5.540668400970297,4.974066901887541,-0.006215105016899174,0.05094221334497451,541
uninstall_rate,has_partnerships,-0.4241324924619134,0.846344516430529,-4.713865777203741,3.8656007922799143,-0.009304698226168947,0.05094221334497451,541
unsubscribed_rate,avg_pushes_per_customer,0.20050441005104003,0.7346111030638318,-0.9587390563068223,1.3597478764089024,0.00032113587853784323,0.05279629009634201,541
